,,Final,,,Semi,,,Info,,,Overall #,,,GF #,,,SF #,,
885,2002,18,73.91%,2002,,,,🇩🇪 Germany,Corinna May,I Can't Live Without Music,21,24,13.04%,21,24,13.04%,,,
886,2002,19,78.26%,2002,,,,🇹🇷 Türkiye,Buket Bengisu & Group Safir,Leylaklar soldu kalbinde,16,24,34.78%,16,24,34.78%,,,
887,2002,20,82.61%,2002,,,,🇲🇹 Malta,Ira Losco,7th Wonder,2,24,95.65%,2,24,95.65%,,,
888,2002,21,86.96%,2002,,,,🇷🇴 Romania,Monica Anghel & Marcel Pavel,Tell Me Why,9,24,65.22%,9,24,65.22%,,,
889,2002,22,91.30%,2002,,,,🇸🇮 Slovenia,Sestre,Samo ljubezen,14,24,43.48%,14,24,43.48%,,,
890,2002,23,95.65%,2002,,,,🇱🇻 Latvia,Marie N,I Wanna,1,24,100.00%,1,24,100.00%,,,
891,2002,24,100.00%,2002,,,,🇱🇹 Lithuania,Aivaras,Happy You,23,24,4.35%,23,24,4.35%,,,
892,2003,1,0.00%,2003,,,,🇮🇸 Iceland,Birgitta,Open Your Heart,8.5,26,70.00%,8.5,26,70.00%,,,
893,2003,2,4.00%,2003,,,,🇦🇹 Austria,Alf Poier,Weil der Mensch zählt,6,26,80.00%,6,26,80.00%,,,
894,2003,3,8.00%,2003,,,,🇮🇪 Ireland,Mickey Harte,We've Got the World,11.5,26,58.00%,11.5,26,58.00%,,,
895,2003,4,12.00%,2003,,,,🇹🇷 Türkiye,Sertab Erener,Everyway That I Can,1,26,100.00%,1,26,100.00%,,,
896,2003,5,16.00%,2003,,,,🇲🇹 Malta,Lynn Chircop,To Dream Again,25,26,4.00%,25,26,4.00%,,,
897,2003,6,20.00%,2003,,,,🇧🇦 Bosnia & Herzegovina,Mija Martina,Ne brini,16,26,40.00%,16,26,40.00%,,,
898,2003,7,24.00%,2003,,,,🇵🇹 Portugal,Rita Guerra,Deixa-me sonhar,22,26,16.00%,22,26,16.00%,,,
899,2003,8,28.00%,2003,,,,🇭🇷 Croatia,Claudia Beni,Više nisam tvoja,15,26,44.00%,15,26,44.00%,,,
900,2003,9,32.00%,2003,,,,🇨🇾 Cyprus,Stelios Constantas,Feeling Alive,20,26,24.00%,20,26,24.00%,,,
901,2003,10,36.00%,2003,,,,🇩🇪 Germany,Lou,Let's Get Happy,11.5,26,58.00%,11.5,26,58.00%,,,
902,2003,11,40.00%,2003,,,,🇷🇺 Russia,t.A.T.u.,"Ne ver', ne boysia",3,26,92.00%,3,26,92.00%,,,
903,2003,12,44.00%,2003,,,,🇪🇸 Spain,Beth,Dime,8.5,26,70.00%,8.5,26,70.00%,,,
904,2003,13,48.00%,2003,,,,🇮🇱 Israel,Lior Narkis,Words for Love,19,26,28.00%,19,26,28.00%,,,
905,2003,14,52.00%,2003,,,,🇳🇱 Netherlands,Esther Hart,One More Night,13,26,52.00%,13,26,52.00%,,,
906,2003,15,56.00%,2003,,,,🇬🇧 United Kingdom,Jemini,Cry Baby,26,26,0.00%,26,26,0.00%,,,
907,2003,16,60.00%,2003,,,,🇺🇦 Ukraine,Olexandr,Hasta la Vista,14,26,48.00%,14,26,48.00%,,,
908,2003,17,64.00%,2003,,,,🇬🇷 Greece,Mando,Never Let You Go,17,26,36.00%,17,26,36.00%,,,
909,2003,18,68.00%,2003,,,,🇳🇴 Norway,Jostein Hasselgård,I'm Not Afraid to Move On,4,26,88.00%,4,26,88.00%,,,
910,2003,19,72.00%,2003,,,,🇫🇷 France,Louisa Baïleche,Monts et merveilles,18,26,32.00%,18,26,32.00%,,,
911,2003,20,76.00%,2003,,,,🇵🇱 Poland,Ich Troje,Keine Grenzen – Żadnych granic,7,26,76.00%,7,26,76.00%,,,
912,2003,21,80.00%,2003,,,,🇱🇻 Latvia,F.L.Y.,Hello from Mars,24,26,8.00%,24,26,8.00%,,,
913,2003,22,84.00%,2003,,,,🇧🇪 Belgium,Urban Trad,Sanomi,2,26,96.00%,2,26,96.00%,,,
914,2003,23,88.00%,2003,,,,🇪🇪 Estonia,Ruffus,Eighties Coming Back,21,26,20.00%,21,26,20.00%,,,
915,2003,24,92.00%,2003,,,,🇷🇴 Romania,Nicola,Don't Break My Heart,10,26,64.00%,10,26,64.00%,,,
916,2003,25,96.00%,2003,,,,🇸🇪 Sweden,Fame,Give Me Your Love,5,26,84.00%,5,26,84.00%,,,
917,2003,26,100.00%,2003,,,,🇸🇮 Slovenia,Karmen,Nanana,23,26,12.00%,23,26,12.00%,,,
925,2004,6,21.74%,2004 GF,8,33.33%,2004 SF,🇲🇹 Malta,Julie & Ludwig,On Again... Off Again,12.5,36,67.14%,12.5,24,50.00%,8,22,66.67%
927,2004,16,65.22%,2004 GF,10,42.86%,2004 SF,🇬🇷 Greece,Sakis Rouvas,Shake It,3,36,94.29%,3,24,91.30%,3,22,90.48%
928,2004,10,39.13%,2004 GF,11,47.62%,2004 SF,🇺🇦 Ukraine,Ruslana,Wild Dances,1,36,100.00%,1,24,100.00%,2,22,95.24%
930,2004,9,34.78%,2004 GF,13,57.14%,2004 SF,🇦🇱 Albania,Anjeza Shahini,The Image of You,7,36,82.86%,7,24,73.91%,4,22,85.71%
931,2004,21,86.96%,2004 GF,14,61.90%,2004 SF,🇨🇾 Cyprus,Lisa Andreas,Stronger Every Minute,5.5,36,87.14%,5.5,24,80.43%,5,22,80.95%
932,2004,15,60.87%,2004 GF,15,66.67%,2004 SF,🇲🇰 North Macedonia,Toše Proeski,Life,14,36,62.86%,14,24,43.48%,10,22,57.14%
935,2004,11,43.48%,2004 GF,18,80.95%,2004 SF,🇭🇷 Croatia,Ivan Mikulić,You Are the Only One,12.5,36,67.14%,12.5,24,50.00%,9,22,61.90%
937,2004,5,17.39%,2004 GF,20,90.48%,2004 SF,🏳 Serbia & Montenegro,Željko Joksimović & Ad-Hoc Orchestra,Lane moje,2,36,97.14%,2,24,95.65%,1,22,100.00%
938,2004,12,47.83%,2004 GF,21,95.24%,2004 SF,🇧🇦 Bosnia & Herzegovina,Deen,In the Disco,9,36,77.14%,9,24,65.22%,7,22,71.43%
939,2004,7,26.09%,2004 GF,22,100.00%,2004 SF,🇳🇱 Netherlands,Re-Union,Without You,20,36,45.71%,20,24,17.39%,6,22,76.19%
940,2004,1,0.00%,2004 GF,,,2004 AQ,🇪🇸 Spain,Ramón,Para llenarme de ti,10,36,74.29%,10,24,60.87%,,,
941,2004,2,4.35%,2004 GF,,,2004 AQ,🇦🇹 Austria,Tie Break,Du bist,21,24,13.04%,21,24,13.04%,,,
942,2004,3,8.70%,2004 GF,,,2004 AQ,🇳🇴 Norway,Knut Anders Sørum,High,24,24,0.00%,24,24,0.00%,,,
943,2004,4,13.04%,2004 GF,,,2004 AQ,🇫🇷 France,Jonatan Cerrada,À chaque pas,15,36,60.00%,15,24,39.13%,,,
944,2004,8,30.43%,2004 GF,,,2004 AQ,🇩🇪 Germany,Max,Can't Wait Until Tonight,8,36,80.00%,8,24,69.57%,,,
945,2004,13,52.17%,2004 GF,,,2004 AQ,🇧🇪 Belgium,Xandee,1 Life,22.5,24,6.52%,22.5,24,6.52%,,,
946,2004,14,56.52%,2004 GF,,,2004 AQ,🇷🇺 Russia,Julia Savicheva,Believe Me,11,36,71.43%,11,24,56.52%,,,
947,2004,17,69.57%,2004 GF,,,2004 AQ,🇮🇸 Iceland,Jónsi,Heaven,19,36,48.57%,19,24,21.74%,,,
948,2004,18,73.91%,2004 GF,,,2004 AQ,🇮🇪 Ireland,Chris Doran,If My World Stopped Turning,22.5,24,6.52%,22.5,24,6.52%,,,
949,2004,19,78.26%,2004 GF,,,2004 AQ,🇵🇱 Poland,Blue Café,Love Song,17,36,54.29%,17,24,30.43%,,,
950,2004,20,82.61%,2004 GF,,,2004 AQ,🇬🇧 United Kingdom,James Fox,Hold On to Our Love,16,36,57.14%,16,24,34.78%,,,
951,2004,22,91.30%,2004 GF,,,2004 AQ,🇹🇷 Türkiye,Athena,For Real,4,36,91.43%,4,24,86.96%,,,
952,2004,23,95.65%,2004 GF,,,2004 AQ,🇷🇴 Romania,Sanda,I Admit,18,36,51.43%,18,24,26.09%,,,
953,2004,24,100.00%,2004 GF,,,2004 AQ,🇸🇪 Sweden,Lena Philipsson,It Hurts,5.5,36,87.14%,5.5,24,80.43%,,,
957,2005,7,26.09%,2005 GF,4,12.50%,2005 SF,🇲🇩 Moldova,Zdob și Zdub,Boonika bate doba,6,39,86.84%,6,24,78.26%,2,25,95.83%
958,2005,23,95.65%,2005 GF,5,16.67%,2005 SF,🇱🇻 Latvia,Walters & Kazha,The War is Not Over,5,39,89.47%,5,24,82.61%,10,25,62.50%
960,2005,11,43.48%,2005 GF,7,25.00%,2005 SF,🇮🇱 Israel,Shiri Maimon,Hasheket Shenish'ar,4,39,92.11%,4,24,86.96%,7,25,75.00%
966,2005,5,17.39%,2005 GF,13,50.00%,2005 SF,🇳🇴 Norway,Wig Wam,In My Dreams,9.5,39,77.63%,9.5,24,63.04%,6,25,79.17%
967,2005,4,13.04%,2005 GF,14,54.17%,2005 SF,🇷🇴 Romania,Luminița Anghel & Sistem,Let Me Try,3,39,94.74%,3,24,91.30%,1,25,100.00%
968,2005,1,0.00%,2005 GF,15,58.33%,2005 SF,🇭🇺 Hungary,NOX,"Forogj, világ!",12,39,71.05%,12,24,52.17%,5,25,83.33%
970,2005,15,60.87%,2005 GF,17,66.67%,2005 SF,🇲🇰 North Macedonia,Martin Vučić,Make My Day,17,39,57.89%,17,24,30.43%,9,25,66.67%
972,2005,22,91.30%,2005 GF,19,75.00%,2005 SF,🇨🇭 Switzerland,Vanilla Ninja,Cool Vibes,8,39,81.58%,8,24,69.57%,8,25,70.83%
973,2005,18,73.91%,2005 GF,20,79.17%,2005 SF,🇭🇷 Croatia,Boris Novković feat. Lado Members,Vukovi umiru sami,11,39,73.68%,11,24,56.52%,4,25,87.50%
977,2005,13,52.17%,2005 GF,24,95.83%,2005 SF,🇩🇰 Denmark,Jakob Sveistrup,Talking to You,9.5,39,77.63%,9.5,24,63.04%,3,25,91.67%
979,2005,2,4.35%,2005 GF,,,2005 AQ,🇬🇧 United Kingdom,Javine,Touch My Fire,22,24,8.70%,22,24,8.70%,,,
980,2005,3,8.70%,2005 GF,,,2005 AQ,🇲🇹 Malta,Chiara,Angel,2,39,97.37%,2,24,95.65%,,,
981,2005,6,21.74%,2005 GF,,,2005 AQ,🇹🇷 Türkiye,Gülseren,Rimi Rimi Ley,13,39,68.42%,13,24,47.83%,,,
982,2005,8,30.43%,2005 GF,,,2005 AQ,🇦🇱 Albania,Ledina Çelo,Tomorrow I Go,16,39,60.53%,16,24,34.78%,,,
983,2005,9,34.78%,2005 GF,,,2005 AQ,🇨🇾 Cyprus,Constantinos Christoforou,Ela Ela,18,24,26.09%,18,24,26.09%,,,
984,2005,10,39.13%,2005 GF,,,2005 AQ,🇪🇸 Spain,Son de Sol,Brujería,21,24,13.04%,21,24,13.04%,,,
985,2005,12,47.83%,2005 GF,,,2005 AQ,🏳 Serbia & Montenegro,No Name,Zauvijek moja,7,39,84.21%,7,24,73.91%,,,
986,2005,14,56.52%,2005 GF,,,2005 AQ,🇸🇪 Sweden,Martin Stenmarck,Las Vegas,19.5,24,19.57%,19.5,24,19.57%,,,
987,2005,16,65.22%,2005 GF,,,2005 AQ,🇺🇦 Ukraine,GreenJolly,Razom nas bahato,19.5,24,19.57%,19.5,24,19.57%,,,
988,2005,17,69.57%,2005 GF,,,2005 AQ,🇩🇪 Germany,Gracia,Run and Hide,24,24,0.00%,24,24,0.00%,,,
989,2005,19,78.26%,2005 GF,,,2005 AQ,🇬🇷 Greece,Helena Paparizou,My Number One,1,39,100.00%,1,24,100.00%,,,
990,2005,20,82.61%,2005 GF,,,2005 AQ,🇷🇺 Russia,Natalia Podolskaya,Nobody Hurt No One,15,39,63.16%,15,24,39.13%,,,
991,2005,21,86.96%,2005 GF,,,2005 AQ,🇧🇦 Bosnia & Herzegovina,Feminnem,Call Me,14,39,65.79%,14,24,43.48%,,,
992,2005,24,100.00%,2005 GF,,,2005 AQ,🇫🇷 France,Ortal,Chacun pense à soi,23,24,4.35%,23,24,4.35%,,,
993,2006,24,100.00%,2006 GF,1,0.00%,2006 SF,🇦🇲 Armenia,André,Without Your Love,8,37,80.56%,8,24,69.57%,6,23,77.27%
1000,2006,21,86.96%,2006 GF,8,31.82%,2006 SF,🇮🇪 Ireland,Brian Kennedy,Every Song Is a Cry for Love,10,37,75.00%,10,24,60.87%,9,23,63.64%
1003,2006,11,43.48%,2006 GF,11,45.45%,2006 SF,🇲🇰 North Macedonia,Elena Risteska,Ninanajna,12.5,37,68.06%,12.5,24,50.00%,10,23,59.09%
1005,2006,10,39.13%,2006 GF,13,54.55%,2006 SF,🇷🇺 Russia,Dima Bilan,Never Let You Go,2,37,97.22%,2,24,95.65%,3,23,90.91%
1006,2006,23,95.65%,2006 GF,14,59.09%,2006 SF,🇹🇷 Türkiye,Sibel Tüzün,Süper Star,11,37,72.22%,11,24,56.52%,8,23,68.18%
1007,2006,18,73.91%,2006 GF,15,63.64%,2006 SF,🇺🇦 Ukraine,Tina Karol,Show Me Your Love,7,37,83.33%,7,24,73.91%,7,23,72.73%
1008,2006,17,69.57%,2006 GF,16,68.18%,2006 SF,🇫🇮 Finland,Lordi,Hard Rock Hallelujah,1,37,100.00%,1,24,100.00%,1,23,100.00%
1010,2006,14,56.52%,2006 GF,18,77.27%,2006 SF,🇱🇹 Lithuania,LT United,We Are the Winners,6,37,86.11%,6,24,78.26%,5,23,81.82%
1012,2006,22,91.30%,2006 GF,20,86.36%,2006 SF,🇸🇪 Sweden,Carola,Invincible,5,37,88.89%,5,24,82.61%,4,23,86.36%
1014,2006,13,52.17%,2006 GF,22,95.45%,2006 SF,🇧🇦 Bosnia & Herzegovina,Hari Mata Hari,Lejla,3,37,94.44%,3,24,91.30%,2,23,95.45%
1016,2006,1,0.00%,2006 GF,,,2006 AQ,🇨🇭 Switzerland,six4one,If We All Give a Little,16.5,24,32.61%,16.5,24,32.61%,,,
1017,2006,2,4.35%,2006 GF,,,2006 AQ,🇲🇩 Moldova,Arsenium feat. Natalia Gordienko & Connect-R,Loca,20,24,17.39%,20,24,17.39%,,,
1018,2006,3,8.70%,2006 GF,,,2006 AQ,🇮🇱 Israel,Eddie Butler,Together We Are One,23,24,4.35%,23,24,4.35%,,,
1019,2006,4,13.04%,2006 GF,,,2006 AQ,🇱🇻 Latvia,Vocal Group Cosmos,I Hear Your Heart,16.5,24,32.61%,16.5,24,32.61%,,,
1020,2006,5,17.39%,2006 GF,,,2006 AQ,🇳🇴 Norway,Christine Guldbrandsen,Alvedansen,14.5,24,41.30%,14.5,24,41.30%,,,
1021,2006,6,21.74%,2006 GF,,,2006 AQ,🇪🇸 Spain,Las Ketchup,Un Blodymary,21,24,13.04%,21,24,13.04%,,,
1022,2006,7,26.09%,2006 GF,,,2006 AQ,🇲🇹 Malta,Fabrizio Faniello,I Do,24,24,0.00%,24,24,0.00%,,,
1023,2006,8,30.43%,2006 GF,,,2006 AQ,🇩🇪 Germany,Texas Lightning,No No Never,14.5,24,41.30%,14.5,24,41.30%,,,
1024,2006,9,34.78%,2006 GF,,,2006 AQ,🇩🇰 Denmark,Sidsel Ben Semmane,Twist of Love,18,24,26.09%,18,24,26.09%,,,
1025,2006,12,47.83%,2006 GF,,,2006 AQ,🇷🇴 Romania,Mihai Trăistariu,Tornerò,4,37,91.67%,4,24,86.96%,,,
1026,2006,15,60.87%,2006 GF,,,2006 AQ,🇬🇧 United Kingdom,Daz Sampson,Teenage Life,19,24,21.74%,19,24,21.74%,,,
1027,2006,16,65.22%,2006 GF,,,2006 AQ,🇬🇷 Greece,Anna Vissi,Everything,9,37,77.78%,9,24,65.22%,,,
1028,2006,19,78.26%,2006 GF,,,2006 AQ,🇫🇷 France,Virginie Pouchain,Il était temps,22,24,8.70%,22,24,8.70%,,,
1029,2006,20,82.61%,2006 GF,,,2006 AQ,🇭🇷 Croatia,Severina,Moja štikla,12.5,37,68.06%,12.5,24,50.00%,,,
1030,2007,21,86.96%,2007 GF,1,0.00%,2007 SF,🇧🇬 Bulgaria,Elitsa Todorova & Stoyan Yankoulov,Water,5,42,90.24%,5,24,82.61%,6,28,81.48%
1033,2007,3,8.70%,2007 GF,4,11.11%,2007 SF,🇧🇾 Belarus,Dmitry Koldun,Work Your Magic,6,42,87.80%,6,24,78.26%,4,28,88.89%
1035,2007,11,43.48%,2007 GF,6,18.52%,2007 SF,🇬🇪 Georgia,Sopho Khalvashi,Visionary Dream,12,42,73.17%,12,24,52.17%,8,28,74.07%
1038,2007,24,100.00%,2007 GF,9,29.63%,2007 SF,🇲🇩 Moldova,Natalia Barbu,Fight,10,42,78.05%,10,24,60.87%,10,28,66.67%
1044,2007,17,69.57%,2007 GF,15,51.85%,2007 SF,🇷🇸 Serbia,Marija Šerifović,Molitva,1,42,100.00%,1,24,100.00%,1,28,100.00%
1047,2007,6,21.74%,2007 GF,18,62.96%,2007 SF,🇲🇰 North Macedonia,Karolina,Mojot svet,14,42,68.29%,14,24,43.48%,9,28,70.37%
1051,2007,8,30.43%,2007 GF,22,77.78%,2007 SF,🇭🇺 Hungary,Magdi Rúzsa,Unsubstantial Blues,9,42,80.49%,9,24,65.22%,2,28,96.30%
1054,2007,7,26.09%,2007 GF,25,88.89%,2007 SF,🇸🇮 Slovenia,Alenka Gotar,Cvet z juga,15,42,65.85%,15,24,39.13%,7,28,77.78%
1055,2007,22,91.30%,2007 GF,26,92.59%,2007 SF,🇹🇷 Türkiye,Kenan Doğulu,Shake It Up Şekerim,4,42,92.68%,4,24,86.96%,3,28,92.59%
1057,2007,14,56.52%,2007 GF,28,100.00%,2007 SF,🇱🇻 Latvia,Bonaparti.lv,Questa notte,16,42,63.41%,16,24,34.78%,5,28,85.19%
1058,2007,1,0.00%,2007 GF,,,2007 AQ,🇧🇦 Bosnia & Herzegovina,Marija Šestić,Rijeka bez imena,11,42,75.61%,11,24,56.52%,,,
1059,2007,2,4.35%,2007 GF,,,2007 AQ,🇪🇸 Spain,D'NASH,I Love You Mi Vida,20,24,17.39%,20,24,17.39%,,,
1060,2007,4,13.04%,2007 GF,,,2007 AQ,🇮🇪 Ireland,Dervish,They Can't Stop the Spring,24,24,0.00%,24,24,0.00%,,,
1061,2007,5,17.39%,2007 GF,,,2007 AQ,🇫🇮 Finland,Hanna Pakarinen,Leave Me Alone,17,24,30.43%,17,24,30.43%,,,
1062,2007,9,34.78%,2007 GF,,,2007 AQ,🇱🇹 Lithuania,4Fun,Love or Leave,21,24,13.04%,21,24,13.04%,,,
1063,2007,10,39.13%,2007 GF,,,2007 AQ,🇬🇷 Greece,Sarbel,Yassou Maria,7,42,85.37%,7,24,73.91%,,,
1064,2007,12,47.83%,2007 GF,,,2007 AQ,🇸🇪 Sweden,The Ark,The Worrying Kind,18,24,26.09%,18,24,26.09%,,,
1065,2007,13,52.17%,2007 GF,,,2007 AQ,🇫🇷 France,Les Fatals Picards,L'amour à la française,22.5,24,6.52%,22.5,24,6.52%,,,
1066,2007,15,60.87%,2007 GF,,,2007 AQ,🇷🇺 Russia,Serebro,Song #1,3,42,95.12%,3,24,91.30%,,,
1067,2007,16,65.22%,2007 GF,,,2007 AQ,🇩🇪 Germany,Roger Cicero,Frauen regier'n die Welt,19,24,21.74%,19,24,21.74%,,,
1068,2007,18,73.91%,2007 GF,,,2007 AQ,🇺🇦 Ukraine,Verka Serduchka,Dancing Lasha Tumbai,2,42,97.56%,2,24,95.65%,,,
1069,2007,19,78.26%,2007 GF,,,2007 AQ,🇬🇧 United Kingdom,Scooch,Flying the Flag (For You),22.5,24,6.52%,22.5,24,6.52%,,,
1070,2007,20,82.61%,2007 GF,,,2007 AQ,🇷🇴 Romania,Todomondo,"Liubi, Liubi, I Love You",13,42,70.73%,13,24,47.83%,,,
1071,2007,23,95.65%,2007 GF,,,2007 AQ,🇦🇲 Armenia,Hayko,Anytime You Need,8,42,82.93%,8,24,69.57%,,,
1073,2008,7,25.00%,2008 GF,2,5.56%,2008 SF1,🇮🇱 Israel,Boaz Ma'uda,The Fire in Your Eyes,9,43,80.95%,9,25,66.67%,5,19,77.78%
1078,2008,20,79.17%,2008 GF,7,33.33%,2008 SF1,🇦🇿 Azerbaijan,Elnur & Samir,Day After Day,8,43,83.33%,8,25,70.83%,6,19,72.22%
1080,2008,25,100.00%,2008 GF,9,44.44%,2008 SF1,🇳🇴 Norway,Maria Haukaas Storeng,Hold On Be Strong,5,43,90.48%,5,25,83.33%,4,19,83.33%
1081,2008,10,37.50%,2008 GF,10,50.00%,2008 SF1,🇵🇱 Poland,Isis Gee,For Life,24,43,45.24%,24,25,4.17%,10,19,50.00%
1084,2008,6,20.83%,2008 GF,13,66.67%,2008 SF1,🇧🇦 Bosnia & Herzegovina,Laka,Pokušaj,10,43,78.57%,10,25,62.50%,9,19,55.56%
1085,2008,5,16.67%,2008 GF,14,72.22%,2008 SF1,🇦🇲 Armenia,Sirusho,"Qélé, Qélé",4,43,92.86%,4,25,87.50%,2,19,94.44%
1087,2008,8,29.17%,2008 GF,16,83.33%,2008 SF1,🇫🇮 Finland,Teräsbetoni,Missä miehet ratsastaa,22,43,50.00%,22,25,12.50%,8,19,61.11%
1088,2008,1,0.00%,2008 GF,17,88.89%,2008 SF1,🇷🇴 Romania,Nico & Vlad,Pe-o margine de lume,20,43,54.76%,20,25,20.83%,7,19,66.67%
1089,2008,24,95.83%,2008 GF,18,94.44%,2008 SF1,🇷🇺 Russia,Dima Bilan,Believe,1,43,100.00%,1,25,100.00%,3,19,88.89%
1090,2008,21,83.33%,2008 GF,19,100.00%,2008 SF1,🇬🇷 Greece,Kalomira,Secret Combination,3,43,95.24%,3,25,91.67%,1,19,100.00%
1091,2008,11,41.67%,2008 GF,1,0.00%,2008 SF2,🇮🇸 Iceland,Euroband,This Is My Life,14,43,69.05%,14,25,45.83%,8,19,61.11%
1092,2008,15,58.33%,2008 GF,2,5.56%,2008 SF2,🇸🇪 Sweden,Charlotte Perrelli,Hero,18,43,59.52%,18,25,29.17%,12,19,38.89%
1093,2008,12,45.83%,2008 GF,3,11.11%,2008 SF2,🇹🇷 Türkiye,Mor ve Ötesi,Deli,7,43,85.71%,7,25,75.00%,7,19,66.67%
1094,2008,18,70.83%,2008 GF,4,16.67%,2008 SF2,🇺🇦 Ukraine,Ani Lorak,Shady Lady,2,43,97.62%,2,25,95.83%,1,19,100.00%
1096,2008,3,8.33%,2008 GF,6,27.78%,2008 SF2,🇦🇱 Albania,Olta Boka,Zemrën e lamë peng,17,43,61.90%,17,25,33.33%,9,19,55.56%
1100,2008,14,54.17%,2008 GF,10,50.00%,2008 SF2,🇱🇻 Latvia,Pirates of the Sea,Wolves of the Sea,12,43,73.81%,12,25,54.17%,6,19,72.22%
1101,2008,9,33.33%,2008 GF,11,55.56%,2008 SF2,🇭🇷 Croatia,Kraljevi ulice & 75 Cents,Romanca,21,43,52.38%,21,25,16.67%,4,19,83.33%
1103,2008,16,62.50%,2008 GF,13,66.67%,2008 SF2,🇩🇰 Denmark,Simon Mathew,All Night Long,15,43,66.67%,15,25,41.67%,3,19,88.89%
1104,2008,17,66.67%,2008 GF,14,72.22%,2008 SF2,🇬🇪 Georgia,Diana Gurtskaya,Peace Will Come,11,43,76.19%,11,25,58.33%,5,19,77.78%
1109,2008,13,50.00%,2008 GF,19,100.00%,2008 SF2,🇵🇹 Portugal,Vânia Fernandes,Senhora do mar (Negras águas),13,43,71.43%,13,25,50.00%,2,19,94.44%
1110,2008,2,4.17%,2008 GF,,,2008 AQ,🇬🇧 United Kingdom,Andy Abraham,Even If,25,25,0.00%,25,25,0.00%,,,
1111,2008,4,12.50%,2008 GF,,,2008 AQ,🇩🇪 Germany,No Angels,Disappear,23,43,47.62%,23,25,8.33%,,,
1112,2008,19,75.00%,2008 GF,,,2008 AQ,🇫🇷 France,Sébastien Tellier,Divine,19,43,57.14%,19,25,25.00%,,,
1113,2008,22,87.50%,2008 GF,,,2008 AQ,🇪🇸 Spain,Rodolfo Chikilicuatre,Baila el Chiki-chiki,16,43,64.29%,16,25,37.50%,,,
1114,2008,23,91.67%,2008 GF,,,2008 AQ,🇷🇸 Serbia,Jelena Tomašević feat. Bora Dugić,Oro,6,43,88.10%,6,25,79.17%,,,
1119,2009,4,12.50%,2009 GF,5,23.53%,2009 SF1,🇸🇪 Sweden,Malena Ernman,La voix,21,42,51.22%,21,25,16.67%,4,18,82.35%
1120,2009,9,33.33%,2009 GF,6,29.41%,2009 SF1,🇦🇲 Armenia,Inga & Anush,Jan Jan,10,42,78.05%,10,25,62.50%,5,18,76.47%
1123,2009,18,70.83%,2009 GF,9,47.06%,2009 SF1,🇹🇷 Türkiye,Hadise,Düm Tek Tek,4,42,92.68%,4,25,87.50%,2,18,94.12%
1124,2009,2,4.17%,2009 GF,10,52.94%,2009 SF1,🇮🇱 Israel,Noa & Mira Awad,There Must Be Another Way,16,42,63.41%,16,25,37.50%,7,18,64.71%
1126,2009,7,25.00%,2009 GF,12,64.71%,2009 SF1,🇮🇸 Iceland,Yohanna,Is It True?,2,42,97.56%,2,25,95.83%,1,18,100.00%
1128,2009,22,87.50%,2009 GF,14,76.47%,2009 SF1,🇷🇴 Romania,Elena,The Balkan Girls,19,42,56.10%,19,25,25.00%,9,18,52.94%
1129,2009,24,95.83%,2009 GF,15,82.35%,2009 SF1,🇫🇮 Finland,Waldo's People,Lose Control,25,42,41.46%,25,25,0.00%,12,18,35.29%
1130,2009,6,20.83%,2009 GF,16,88.24%,2009 SF1,🇵🇹 Portugal,Flor-de-Lis,Todas as ruas do amor,15,42,65.85%,15,25,41.67%,8,18,58.82%
1131,2009,14,54.17%,2009 GF,17,94.12%,2009 SF1,🇲🇹 Malta,Chiara,What If We,22,42,48.78%,22,25,12.50%,6,18,70.59%
1132,2009,12,45.83%,2009 GF,18,100.00%,2009 SF1,🇧🇦 Bosnia & Herzegovina,Regina,Bistra voda,9,42,80.49%,9,25,66.67%,3,18,88.24%
1133,2009,5,16.67%,2009 GF,1,0.00%,2009 SF2,🇭🇷 Croatia,Igor Cukrov feat. Andrea,Lijepa tena,18,42,58.54%,18,25,29.17%,13,19,33.33%
1138,2009,20,79.17%,2009 GF,6,27.78%,2009 SF2,🇳🇴 Norway,Alexander Rybak,Fairytale,1,42,100.00%,1,25,100.00%,1,19,100.00%
1141,2009,16,62.50%,2009 GF,9,44.44%,2009 SF2,🇩🇰 Denmark,Niels Brinck,Believe Again,13,42,70.73%,13,25,50.00%,8,19,61.11%
1144,2009,11,41.67%,2009 GF,12,61.11%,2009 SF2,🇦🇿 Azerbaijan,AySel & Arash,Always,3,42,95.12%,3,25,91.67%,2,19,94.44%
1145,2009,8,29.17%,2009 GF,13,66.67%,2009 SF2,🇬🇷 Greece,Sakis Rouvas,This Is Our Night,7,42,85.37%,7,25,75.00%,4,19,83.33%
1146,2009,1,0.00%,2009 GF,14,72.22%,2009 SF2,🇱🇹 Lithuania,Sasha Son,Love,23,42,46.34%,23,25,8.33%,9,19,55.56%
1147,2009,13,50.00%,2009 GF,15,77.78%,2009 SF2,🇲🇩 Moldova,Nelly Ciobanu,Hora din Moldova,14,42,68.29%,14,25,45.83%,5,19,77.78%
1148,2009,19,75.00%,2009 GF,16,83.33%,2009 SF2,🇦🇱 Albania,Kejsi Tola,Carry Me in Your Dreams,17,42,60.98%,17,25,33.33%,7,19,66.67%
1149,2009,21,83.33%,2009 GF,17,88.89%,2009 SF2,🇺🇦 Ukraine,Svetlana Loboda,Be My Valentine! (Anti-Crisis Girl),12,42,73.17%,12,25,54.17%,6,19,72.22%
